2021-12-07 19:31:44 - INFO - saving to ./results/2021-12-07_19-31-44
2021-12-07 19:31:44 - DEBUG - run arguments: Namespace(batch_size=96, dataset='cifar10', epochs=250, evaluate=None, gpus='0', input_size=None, lr=0.1, model='resnet_binary', model_config='', momentum=0.9, optimizer='SGD', print_freq=10, results_dir='./results', resume='', save='2021-12-07_19-31-44', start_epoch=0, type='torch.cuda.FloatTensor', weight_decay=0.0001, workers=8)
2021-12-07 19:31:44 - INFO - creating model resnet_binary
2021-12-07 19:31:44 - INFO - created model with configuration: {'input_size': None, 'dataset': 'cifar10'}
2021-12-07 19:31:44 - INFO - number of parameters: 11094174
2021-12-07 19:31:47 - INFO - TRAINING - Epoch: [0][0/521]	Time 1.093 (1.093)	Data 0.133 (0.133)	Loss 2.6740 (2.6740)	Prec@1 9.375 (9.375)	Prec@5 50.000 (50.000)
2021-12-07 19:31:49 - INFO - TRAINING - Epoch: [0][10/521]	Time 0.204 (0.275)	Data 0.000 (0.012)	Loss 2.6951 (2.6683)	Prec@1 6.250 (10.890)	Prec@5 44.792 (50.947)
2021-12-07 19:31:51 - INFO - TRAINING - Epoch: [0][20/521]	Time 0.206 (0.242)	Data 0.000 (0.006)	Loss 2.4214 (2.6135)	Prec@1 14.583 (11.657)	Prec@5 60.417 (52.530)
2021-12-07 19:31:53 - INFO - TRAINING - Epoch: [0][30/521]	Time 0.207 (0.230)	Data 0.000 (0.004)	Loss 2.3697 (2.5537)	Prec@1 14.583 (12.399)	Prec@5 60.417 (54.940)
2021-12-07 19:31:55 - INFO - TRAINING - Epoch: [0][40/521]	Time 0.207 (0.224)	Data 0.000 (0.003)	Loss 2.3380 (2.5120)	Prec@1 12.500 (12.830)	Prec@5 65.625 (56.606)
2021-12-07 19:31:57 - INFO - TRAINING - Epoch: [0][50/521]	Time 0.207 (0.221)	Data 0.000 (0.003)	Loss 2.3280 (2.4831)	Prec@1 18.750 (13.215)	Prec@5 60.417 (57.312)
2021-12-07 19:31:59 - INFO - TRAINING - Epoch: [0][60/521]	Time 0.207 (0.218)	Data 0.000 (0.002)	Loss 2.2538 (2.4560)	Prec@1 18.750 (13.610)	Prec@5 66.667 (57.941)
2021-12-07 19:32:01 - INFO - TRAINING - Epoch: [0][70/521]	Time 0.207 (0.217)	Data 0.000 (0.002)	Loss 2.1735 (2.4281)	Prec@1 19.792 (14.261)	Prec@5 70.833 (58.700)
2021-12-07 19:32:03 - INFO - TRAINING - Epoch: [0][80/521]	Time 0.208 (0.215)	Data 0.000 (0.002)	Loss 2.2452 (2.4061)	Prec@1 13.542 (14.480)	Prec@5 63.542 (59.298)
2021-12-07 19:32:05 - INFO - TRAINING - Epoch: [0][90/521]	Time 0.208 (0.214)	Data 0.000 (0.002)	Loss 2.2610 (2.3876)	Prec@1 14.583 (14.709)	Prec@5 65.625 (59.879)
2021-12-07 19:32:07 - INFO - TRAINING - Epoch: [0][100/521]	Time 0.209 (0.214)	Data 0.000 (0.001)	Loss 2.1771 (2.3699)	Prec@1 20.833 (14.924)	Prec@5 62.500 (60.221)
2021-12-07 19:32:09 - INFO - TRAINING - Epoch: [0][110/521]	Time 0.209 (0.213)	Data 0.000 (0.001)	Loss 2.2123 (2.3532)	Prec@1 19.792 (15.212)	Prec@5 68.750 (60.839)
2021-12-07 19:32:12 - INFO - TRAINING - Epoch: [0][120/521]	Time 0.209 (0.212)	Data 0.000 (0.001)	Loss 2.1740 (2.3397)	Prec@1 14.583 (15.427)	Prec@5 66.667 (61.407)
2021-12-07 19:32:14 - INFO - TRAINING - Epoch: [0][130/521]	Time 0.210 (0.212)	Data 0.000 (0.001)	Loss 2.0772 (2.3310)	Prec@1 26.042 (15.593)	Prec@5 73.958 (61.506)
2021-12-07 19:32:16 - INFO - TRAINING - Epoch: [0][140/521]	Time 0.208 (0.212)	Data 0.000 (0.001)	Loss 2.1817 (2.3192)	Prec@1 16.667 (15.795)	Prec@5 66.667 (61.924)
2021-12-07 19:32:18 - INFO - TRAINING - Epoch: [0][150/521]	Time 0.208 (0.211)	Data 0.000 (0.001)	Loss 2.1626 (2.3082)	Prec@1 14.583 (15.970)	Prec@5 67.708 (62.528)
2021-12-07 19:32:20 - INFO - TRAINING - Epoch: [0][160/521]	Time 0.208 (0.211)	Data 0.000 (0.001)	Loss 2.1995 (2.2993)	Prec@1 14.583 (16.175)	Prec@5 70.833 (62.804)
2021-12-07 19:32:22 - INFO - TRAINING - Epoch: [0][170/521]	Time 0.208 (0.211)	Data 0.000 (0.001)	Loss 2.1073 (2.2900)	Prec@1 21.875 (16.502)	Prec@5 73.958 (63.213)
2021-12-07 19:32:24 - INFO - TRAINING - Epoch: [0][180/521]	Time 0.210 (0.211)	Data 0.000 (0.001)	Loss 2.1049 (2.2832)	Prec@1 21.875 (16.546)	Prec@5 70.833 (63.461)
2021-12-07 19:32:26 - INFO - TRAINING - Epoch: [0][190/521]	Time 0.210 (0.210)	Data 0.000 (0.001)	Loss 2.0952 (2.2765)	Prec@1 16.667 (16.694)	Prec@5 75.000 (63.716)
2021-12-07 19:32:28 - INFO - TRAINING - Epoch: [0][200/521]	Time 0.209 (0.210)	Data 0.000 (0.001)	Loss 2.1858 (2.2694)	Prec@1 16.667 (16.812)	Prec@5 65.625 (64.044)
2021-12-07 19:32:30 - INFO - TRAINING - Epoch: [0][210/521]	Time 0.208 (0.210)	Data 0.000 (0.001)	Loss 2.1230 (2.2629)	Prec@1 12.500 (16.943)	Prec@5 69.792 (64.401)
2021-12-07 19:32:32 - INFO - TRAINING - Epoch: [0][220/521]	Time 0.208 (0.210)	Data 0.000 (0.001)	Loss 2.1354 (2.2579)	Prec@1 18.750 (16.935)	Prec@5 71.875 (64.640)
