2021-12-07 21:30:01 - INFO - saving to ./results/2021-12-07_21-30-01
2021-12-07 21:30:01 - DEBUG - run arguments: Namespace(batch_size=128, dataset='cifar10', epochs=250, evaluate=None, gpus='0', input_size=None, lr=0.1, model='resnet_binary', model_config='', momentum=0.9, optimizer='SGD', print_freq=10, results_dir='./results', resume='', save='2021-12-07_21-30-01', start_epoch=0, type='torch.cuda.FloatTensor', weight_decay=0.0001, workers=8)
2021-12-07 21:30:01 - INFO - creating model fake generator (student)
2021-12-07 21:30:02 - INFO - creating model real generator (student)
2021-12-07 21:30:03 - INFO - number of parameters: 20798602
2021-12-07 21:30:06 - INFO - TRAINING - Epoch: [0][0/391]	Time 2.473 (2.473)	Data 0.163 (0.163)	Loss 2.3925 (2.3925)	Prec@1 11.719 (11.719)	Prec@5 52.344 (52.344)
2021-12-07 21:30:09 - INFO - TRAINING - Epoch: [0][10/391]	Time 0.303 (0.486)	Data 0.000 (0.015)	Loss 2.5192 (2.4179)	Prec@1 10.156 (9.588)	Prec@5 50.781 (49.858)
2021-12-07 21:30:12 - INFO - TRAINING - Epoch: [0][20/391]	Time 0.304 (0.400)	Data 0.000 (0.008)	Loss 2.6199 (2.4787)	Prec@1 13.281 (10.528)	Prec@5 50.781 (51.711)
2021-12-07 21:30:15 - INFO - TRAINING - Epoch: [0][30/391]	Time 0.306 (0.369)	Data 0.000 (0.005)	Loss 2.6588 (2.5406)	Prec@1 8.594 (10.408)	Prec@5 55.469 (51.890)
2021-12-07 21:30:18 - INFO - TRAINING - Epoch: [0][40/391]	Time 0.305 (0.354)	Data 0.000 (0.004)	Loss 2.6541 (2.5940)	Prec@1 13.281 (10.252)	Prec@5 57.031 (52.096)
2021-12-07 21:30:21 - INFO - TRAINING - Epoch: [0][50/391]	Time 0.308 (0.344)	Data 0.000 (0.003)	Loss 2.7536 (2.6126)	Prec@1 10.938 (10.738)	Prec@5 52.344 (53.110)
2021-12-07 21:30:24 - INFO - TRAINING - Epoch: [0][60/391]	Time 0.307 (0.338)	Data 0.000 (0.003)	Loss 2.6468 (2.6292)	Prec@1 9.375 (11.104)	Prec@5 60.938 (54.239)
2021-12-07 21:30:27 - INFO - TRAINING - Epoch: [0][70/391]	Time 0.308 (0.334)	Data 0.000 (0.002)	Loss 2.6405 (2.6203)	Prec@1 16.406 (11.928)	Prec@5 64.844 (55.898)
2021-12-07 21:30:31 - INFO - TRAINING - Epoch: [0][80/391]	Time 0.308 (0.330)	Data 0.000 (0.002)	Loss 2.8210 (2.6262)	Prec@1 16.406 (12.375)	Prec@5 57.812 (56.819)
2021-12-07 21:30:34 - INFO - TRAINING - Epoch: [0][90/391]	Time 0.308 (0.328)	Data 0.000 (0.002)	Loss 2.7585 (2.6302)	Prec@1 16.406 (12.783)	Prec@5 57.031 (57.323)
2021-12-07 21:30:37 - INFO - TRAINING - Epoch: [0][100/391]	Time 0.308 (0.326)	Data 0.000 (0.002)	Loss 2.5008 (2.6261)	Prec@1 18.750 (13.304)	Prec@5 73.438 (58.222)
2021-12-07 21:30:40 - INFO - TRAINING - Epoch: [0][110/391]	Time 0.308 (0.324)	Data 0.000 (0.002)	Loss 2.6466 (2.6261)	Prec@1 19.531 (13.450)	Prec@5 63.281 (58.777)
2021-12-07 21:30:43 - INFO - TRAINING - Epoch: [0][120/391]	Time 0.308 (0.323)	Data 0.000 (0.001)	Loss 2.8764 (2.6277)	Prec@1 11.719 (13.688)	Prec@5 57.031 (59.298)
2021-12-07 21:30:46 - INFO - TRAINING - Epoch: [0][130/391]	Time 0.313 (0.322)	Data 0.000 (0.001)	Loss 2.5470 (2.6232)	Prec@1 20.312 (14.080)	Prec@5 67.969 (59.918)
2021-12-07 21:30:49 - INFO - TRAINING - Epoch: [0][140/391]	Time 0.311 (0.321)	Data 0.000 (0.001)	Loss 2.4101 (2.6238)	Prec@1 18.750 (14.240)	Prec@5 64.844 (60.295)
2021-12-07 21:30:52 - INFO - TRAINING - Epoch: [0][150/391]	Time 0.310 (0.320)	Data 0.000 (0.001)	Loss 2.4628 (2.6238)	Prec@1 19.531 (14.456)	Prec@5 69.531 (60.746)
2021-12-07 21:30:55 - INFO - TRAINING - Epoch: [0][160/391]	Time 0.309 (0.319)	Data 0.000 (0.001)	Loss 2.5253 (2.6197)	Prec@1 20.312 (14.606)	Prec@5 72.656 (61.185)
2021-12-07 21:30:58 - INFO - TRAINING - Epoch: [0][170/391]	Time 0.309 (0.319)	Data 0.000 (0.001)	Loss 2.4617 (2.6121)	Prec@1 15.625 (14.839)	Prec@5 75.781 (61.614)
2021-12-07 21:31:01 - INFO - TRAINING - Epoch: [0][180/391]	Time 0.311 (0.318)	Data 0.000 (0.001)	Loss 2.5915 (2.6079)	Prec@1 16.406 (14.960)	Prec@5 62.500 (61.965)
2021-12-07 21:31:04 - INFO - TRAINING - Epoch: [0][190/391]	Time 0.310 (0.318)	Data 0.000 (0.001)	Loss 2.3729 (2.6021)	Prec@1 23.438 (15.081)	Prec@5 68.750 (62.361)
2021-12-07 21:31:08 - INFO - TRAINING - Epoch: [0][200/391]	Time 0.311 (0.317)	Data 0.000 (0.001)	Loss 2.6411 (2.5965)	Prec@1 11.719 (15.205)	Prec@5 65.625 (62.768)
2021-12-07 21:31:11 - INFO - TRAINING - Epoch: [0][210/391]	Time 0.310 (0.317)	Data 0.000 (0.001)	Loss 2.5255 (2.5961)	Prec@1 15.625 (15.266)	Prec@5 64.062 (62.955)
2021-12-07 21:31:14 - INFO - TRAINING - Epoch: [0][220/391]	Time 0.312 (0.317)	Data 0.000 (0.001)	Loss 2.4754 (2.5903)	Prec@1 17.969 (15.349)	Prec@5 66.406 (63.363)
2021-12-07 21:31:17 - INFO - TRAINING - Epoch: [0][230/391]	Time 0.311 (0.316)	Data 0.000 (0.001)	Loss 2.8108 (2.5860)	Prec@1 17.188 (15.635)	Prec@5 71.094 (63.707)
2021-12-07 21:31:20 - INFO - TRAINING - Epoch: [0][240/391]	Time 0.311 (0.316)	Data 0.000 (0.001)	Loss 2.4836 (2.5827)	Prec@1 16.406 (15.725)	Prec@5 64.062 (63.985)
