2021-12-07 23:27:54 - INFO - saving to ./results/2021-12-07_23-27-54
2021-12-07 23:27:54 - DEBUG - run arguments: Namespace(batch_size=128, dataset='cifar10', epochs=250, evaluate=None, gpus='0', input_size=None, lr=0.1, model='resnet_binary', model_config='', momentum=0.9, optimizer='SGD', print_freq=10, results_dir='./results', resume='', save='2021-12-07_23-27-54', start_epoch=0, type='torch.cuda.FloatTensor', weight_decay=0.0001, workers=8)
2021-12-07 23:27:54 - INFO - creating model fake generator (student)
2021-12-07 23:27:55 - INFO - creating model real generator (student)
2021-12-07 23:27:56 - INFO - number of parameters: 11094154
2021-12-07 23:27:58 - INFO - TRAINING - Epoch: [0][0/391]	Time 1.107 (1.107)	Data 0.203 (0.203)	Loss 2.3704 (2.3704)	Prec@1 7.031 (7.031)	Prec@5 50.000 (50.000)
2021-12-07 23:27:59 - INFO - TRAINING - Epoch: [0][10/391]	Time 0.136 (0.221)	Data 0.000 (0.019)	Loss 2.4751 (2.3827)	Prec@1 7.812 (11.009)	Prec@5 46.875 (51.634)
2021-12-07 23:28:00 - INFO - TRAINING - Epoch: [0][20/391]	Time 0.136 (0.181)	Data 0.000 (0.010)	Loss 2.5612 (2.4356)	Prec@1 10.938 (11.719)	Prec@5 52.344 (52.269)
2021-12-07 23:28:02 - INFO - TRAINING - Epoch: [0][30/391]	Time 0.135 (0.166)	Data 0.000 (0.007)	Loss 2.6796 (2.4733)	Prec@1 14.062 (12.727)	Prec@5 53.906 (54.133)
2021-12-07 23:28:03 - INFO - TRAINING - Epoch: [0][40/391]	Time 0.137 (0.159)	Data 0.000 (0.005)	Loss 2.6092 (2.5202)	Prec@1 18.750 (13.129)	Prec@5 62.500 (55.107)
2021-12-07 23:28:05 - INFO - TRAINING - Epoch: [0][50/391]	Time 0.135 (0.154)	Data 0.000 (0.004)	Loss 2.8945 (2.5535)	Prec@1 11.719 (13.388)	Prec@5 50.000 (55.806)
2021-12-07 23:28:06 - INFO - TRAINING - Epoch: [0][60/391]	Time 0.135 (0.151)	Data 0.000 (0.003)	Loss 2.6769 (2.5518)	Prec@1 13.281 (14.050)	Prec@5 54.688 (57.172)
2021-12-07 23:28:07 - INFO - TRAINING - Epoch: [0][70/391]	Time 0.135 (0.149)	Data 0.000 (0.003)	Loss 2.5637 (2.5548)	Prec@1 18.750 (14.503)	Prec@5 71.094 (58.473)
2021-12-07 23:28:09 - INFO - TRAINING - Epoch: [0][80/391]	Time 0.136 (0.147)	Data 0.000 (0.003)	Loss 2.5846 (2.5538)	Prec@1 15.625 (15.027)	Prec@5 66.406 (59.443)
2021-12-07 23:28:10 - INFO - TRAINING - Epoch: [0][90/391]	Time 0.134 (0.146)	Data 0.000 (0.002)	Loss 2.3854 (2.5439)	Prec@1 25.000 (15.316)	Prec@5 68.750 (60.474)
2021-12-07 23:28:11 - INFO - TRAINING - Epoch: [0][100/391]	Time 0.136 (0.145)	Data 0.000 (0.002)	Loss 2.4384 (2.5311)	Prec@1 18.750 (15.571)	Prec@5 71.094 (61.425)
2021-12-07 23:28:13 - INFO - TRAINING - Epoch: [0][110/391]	Time 0.135 (0.144)	Data 0.000 (0.002)	Loss 2.3437 (2.5137)	Prec@1 21.094 (15.963)	Prec@5 72.656 (62.430)
2021-12-07 23:28:14 - INFO - TRAINING - Epoch: [0][120/391]	Time 0.138 (0.143)	Data 0.000 (0.002)	Loss 2.3165 (2.4955)	Prec@1 19.531 (16.439)	Prec@5 72.656 (63.436)
2021-12-07 23:28:15 - INFO - TRAINING - Epoch: [0][130/391]	Time 0.137 (0.143)	Data 0.000 (0.002)	Loss 2.0697 (2.4861)	Prec@1 21.875 (16.591)	Prec@5 82.812 (63.937)
2021-12-07 23:28:17 - INFO - TRAINING - Epoch: [0][140/391]	Time 0.136 (0.142)	Data 0.000 (0.002)	Loss 2.2332 (2.4685)	Prec@1 21.094 (16.960)	Prec@5 70.312 (64.700)
2021-12-07 23:28:18 - INFO - TRAINING - Epoch: [0][150/391]	Time 0.134 (0.142)	Data 0.000 (0.001)	Loss 1.9583 (2.4541)	Prec@1 30.469 (17.394)	Prec@5 84.375 (65.185)
2021-12-07 23:28:20 - INFO - TRAINING - Epoch: [0][160/391]	Time 0.138 (0.142)	Data 0.000 (0.001)	Loss 2.1615 (2.4384)	Prec@1 19.531 (17.648)	Prec@5 77.344 (65.839)
2021-12-07 23:28:21 - INFO - TRAINING - Epoch: [0][170/391]	Time 0.136 (0.141)	Data 0.000 (0.001)	Loss 2.1010 (2.4231)	Prec@1 23.438 (17.845)	Prec@5 78.906 (66.484)
2021-12-07 23:28:22 - INFO - TRAINING - Epoch: [0][180/391]	Time 0.135 (0.141)	Data 0.000 (0.001)	Loss 2.1735 (2.4072)	Prec@1 12.500 (18.072)	Prec@5 72.656 (67.075)
2021-12-07 23:28:24 - INFO - TRAINING - Epoch: [0][190/391]	Time 0.136 (0.141)	Data 0.000 (0.001)	Loss 2.1754 (2.3947)	Prec@1 13.281 (18.231)	Prec@5 80.469 (67.515)
2021-12-07 23:28:25 - INFO - TRAINING - Epoch: [0][200/391]	Time 0.135 (0.141)	Data 0.000 (0.001)	Loss 2.0684 (2.3811)	Prec@1 20.312 (18.427)	Prec@5 82.031 (67.984)
